rssi_from_min,interrogator_timestamp,phase_cos_rads,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,prx_moving_parts,velocity_by_doppler,absolute_timestamp,epc96,rospecid,prx_moving_parts_deoscillated,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
6.0,1467300015458172,0.9939069700023561,7.0,1467300015458172,0.11044661672776616,112,1,nan,1,1,28.407052951102152,2.3032629558541267,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,6382250000.0,1.8962655601659719,1,72,nan,19,0,-50,0
6.0,1467300015463578,0.9852776423889412,0.0,1467300015463578,0.1718058482431918,0,1,0.9032209581945986,2,1,28.407052951102152,0.0,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,0.0,1.8962655601659719,1,112,0.29719362485152684,19,5406,-50,0
6.0,1467300015466222,0.9900582102622971,2.125,1467300015466222,0.14112623248547898,34,1,-0.9233760400907717,3,1,28.407052951102152,0.6992048258842885,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,1937468750.0,1.8962655601659719,1,92,-0.3038254039234785,19,8050,-50,0
6.0,1467300015470396,0.9882575677307495,-0.5625,1467300015470396,0.15339807878856412,65527,1,0.23396322472448522,4,1,28.407052951102152,-0.18508363038113518,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,-512859375.0,1.8962655601659719,1,100,0.07698268979144016,19,12224,-50,0
6.0,1467300015474627,0.9882575677307495,-0.5625,1467300015474627,0.15339807878856412,65527,1,0.0,5,1,28.407052951102152,-0.18508363038113518,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,-512859375.0,1.8962655601659719,1,100,0.0,19,16455,-50,0
6.0,1467300015479432,0.9945645707342554,7.625,1467300015479432,0.1043106935762236,122,1,-0.8129552549427681,6,1,28.407052951102152,2.508911434055388,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,6952093750.0,1.8962655601659719,1,68,-0.2674928176395179,19,21260,-50,0
6.0,1467300015483627,0.99090263542778,0.5625,1467300015483627,0.1349903093339364,9,1,0.581980035756853,7,1,28.407052951102152,0.18508363038113518,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,512859375.0,1.8962655601659719,1,88,0.19149329391505995,19,25455,-50,0
7.0,1467300015487689,0.9685220942744173,-9.125,1467300015487689,0.25157284921324513,65390,1,2.283934945839488,8,1,27.407052951102155,-3.002467781738415,2016-06-30 15:16:26,00e200600319961ccc000000,1,27.705239646184705,-8319718750.0,2.8962655601659719,1,164,0.7515003934761134,19,29517,-49,0
6.0,1467300015491900,0.9945645707342554,7.0,1467300015491900,0.1043106935762236,112,1,-2.7828900498693896,9,1,28.407052951102152,2.3032629558541267,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,6382250000.0,1.8962655601659719,1,68,-0.9156753660113154,19,33728,-50,0
6.0,1467300015496769,0.9939069700023561,6.375,1467300015496769,0.11044661672776616,102,1,0.10028368248100214,10,1,28.407052951102152,2.0976144776528654,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,5812406250.0,1.8962655601659719,1,72,0.032997098705018525,19,38597,-50,0
6.0,1467300015500009,-0.989176509964781,1.5,1467300015500009,3.2888548092268146,24,1,78.06471836419753,11,1,28.407052951102152,0.49355634768302714,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,1367625000.0,1.8962655601659719,1,2144,25.686224852491645,19,41837,-50,0
6.0,1467300015504891,0.9604305194155658,-18.0,1467300015504891,0.28225246497095796,65248,1,-49.008154956984846,12,1,28.407052951102152,-5.922676172196326,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,-16411500000.0,1.8962655601659719,1,184,-16.125523978168854,19,46719,-50,0
7.0,1467300015508371,0.984210092386929,-14.625,1467300015508371,0.17794177139473438,65302,1,-2.385281968390804,13,1,27.407052951102155,-4.812174389909515,2016-06-30 15:16:26,00e200600319961ccc000000,1,27.705239646184705,-13334343750.0,2.8962655601659719,1,116,-0.7848473710087648,19,50199,-49,0
6.0,1467300015512528,0.9917097536690995,3.3125,1467300015512528,0.12885438618239387,53,1,-0.9396800577339425,14,1,28.407052951102152,1.089936934466685,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,3020171875.0,1.8962655601659719,1,84,-0.30919003819049384,19,54356,-50,0
6.0,1467300015515413,0.9917097536690995,3.3125,1467300015515413,0.12885438618239387,53,1,0.0,15,1,28.407052951102152,1.089936934466685,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,3020171875.0,1.8962655601659719,1,84,0.0,19,57241,-50,0
6.0,1467300015519549,0.9917097536690995,1.5,1467300015519549,0.12885438618239387,24,1,0.0,16,1,28.407052951102152,0.49355634768302714,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,1367625000.0,1.8962655601659719,1,84,0.0,19,61377,-50,0
7.0,1467300015524678,0.9863080972445987,6.375,1467300015524678,0.16566992509164924,102,1,0.571200526418405,17,1,27.407052951102155,2.0976144776528654,2016-06-30 15:16:26,00e200600319961ccc000000,1,27.705239646184705,5812406250.0,2.8962655601659719,1,108,0.18794643040912695,19,66506,-49,0
6.0,1467300015530981,0.9945645707342554,7.0,1467300015530981,0.1043106935762236,112,1,-0.7746807075995555,18,1,28.407052951102152,2.3032629558541267,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,6382250000.0,1.8962655601659719,1,68,-0.2548990537755598,19,72809,-50,0
6.0,1467300015535119,0.9900582102622971,2.125,1467300015535119,0.14112623248547898,34,1,0.707996012566457,19,1,28.407052951102152,0.6992048258842885,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,1937468750.0,1.8962655601659719,1,92,0.23295728409096472,19,76947,-50,0
6.0,1467300015538790,-0.989176509964781,-0.5625,1467300015538790,3.2888548092268146,65527,1,68.23434520566602,20,1,28.407052951102152,-0.18508363038113518,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,-512859375.0,1.8962655601659719,1,2144,22.451662804167597,19,80618,-50,0
6.0,1467300015543849,0.996312612182778,8.1875,1467300015543849,0.0859029241215959,131,1,48.451707353231875,21,1,28.407052951102152,2.6939950644365234,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,7464953125.0,1.8962655601659719,1,56,15.942431813511996,19,85677,-50,0
7.0,1467300015546981,0.9981181129001492,9.75,1467300015546981,0.06135923151542565,156,1,-0.62360312899106,22,1,27.407052951102155,3.2081162599396764,2016-06-30 15:16:26,00e200600319961ccc000000,1,27.705239646184705,8889562500.0,2.8962655601659719,1,40,-0.20518885516569013,19,88809,-49,0
6.0,1467300015551905,0.9957674144676598,7.0,1467300015551905,0.09203884727313846,112,1,0.4958176787164906,23,1,28.407052951102152,2.3032629558541267,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,6382250000.0,1.8962655601659719,1,60,0.1631426417493251,19,93733,-50,0
6.0,1467300015554527,0.99247953459871,2.125,1467300015554527,0.1227184630308513,34,1,0.931123665141114,24,1,28.407052951102152,0.6992048258842885,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,1937468750.0,1.8962655601659719,1,80,0.30637466360552146,19,96355,-50,0
6.0,1467300015559408,0.99090263542778,2.125,1467300015559408,0.1349903093339364,34,1,0.20007426756812105,25,1,28.407052951102152,0.6992048258842885,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,1937468750.0,1.8962655601659719,1,88,0.06583194984418571,19,101236,-50,0
6.0,1467300015564224,0.9939069700023561,6.375,1467300015564224,0.11044661672776616,102,1,-0.40554921096345486,26,1,28.407052951102152,2.0976144776528654,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,5812406250.0,1.8962655601659719,1,72,-0.13344092491257084,19,106052,-50,0
7.0,1467300015567173,0.9831054874312163,-0.5625,1467300015567173,0.18407769454627693,65527,1,1.9869023397761953,27,1,27.407052951102155,-0.18508363038113518,2016-06-30 15:16:26,00e200600319961ccc000000,1,27.705239646184705,-512859375.0,2.8962655601659719,1,120,0.6537655080152,19,109001,-49,0
6.0,1467300015571688,0.9957674144676598,6.375,1467300015571688,0.09203884727313846,102,1,-1.6221968438538206,28,1,28.407052951102152,2.0976144776528654,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,5812406250.0,1.8962655601659719,1,60,-0.5337636996502837,19,113516,-50,0
6.0,1467300015576163,0.99090263542778,-1.5,1467300015576163,0.1349903093339364,65512,1,0.7637918994413406,29,1,28.407052951102152,-0.49355634768302714,2016-06-30 15:16:26,00e200600319961ccc000000,1,28.7052396461847,-1367625000.0,1.8962655601659719,1,88,0.25131622685210003,19,117991,-50,0
