rssi_from_min,interrogator_timestamp,phase_cos_rads,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,prx_moving_parts,velocity_by_doppler,absolute_timestamp,epc96,rospecid,prx_moving_parts_deoscillated,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
6.0,1467299827664257,-0.8700869911087113,2.125,1467299827664257,2.6261751088602177,34,1,nan,1,1,27.690525859733452,0.6878877798759104,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.700144785381276,1969343750.0,3.587188612099645,1,1712,nan,49,0,-49,0
6.0,1467299827669279,0.8545579883654005,7.625,1467299827669279,5.737088146692298,122,1,49.294821535244935,2,1,27.690525859733452,2.468303210142973,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.700144785381276,7066468750.0,3.587188612099645,1,3740,15.957320162474756,49,5022,-49,0
6.0,1467299827673011,0.8415549774368986,1.5,1467299827673011,5.712544454086128,24,1,-0.5233453912111451,3,1,27.690525859733452,0.4855678446182897,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.700144785381276,1390125000.0,3.587188612099645,1,3724,-0.1694131290675409,49,8754,-49,0
6.0,1467299827676179,0.8211025149911046,-28.625,1467299827676179,5.675728915176872,65078,1,-0.9247750946969777,4,1,27.690525859733452,-9.266253034799028,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.700144785381276,-26528218750.0,3.587188612099645,1,3700,-0.29936069965912415,49,11922,-49,0
7.0,1467299827679730,0.857728610000272,11.25,1467299827679730,5.743224069843841,180,1,1.5125580822303575,5,1,26.690525859733455,3.641758834637173,2016-06-30 15:13:13,00e200600319961ccc000000,1,26.70014478538128,10425937500.0,4.587188612099645,1,3744,0.48963304523237905,49,15473,-48,0
6.0,1467299827683995,0.8847970984309375,2.6875,1467299827683995,5.798447378207723,43,1,1.030370750293076,6,1,27.690525859733452,0.869975721607769,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.700144785381276,2490640625.0,3.587188612099645,1,3780,0.3335432695850259,49,19738,-49,0
6.0,1467299827688731,0.8932243011955151,2.6875,1467299827688731,5.816855147662351,43,1,0.3092997782939216,7,1,27.690525859733452,0.869975721607769,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.700144785381276,2490640625.0,3.587188612099645,1,3792,0.10012401779139626,49,24474,-49,0
9.0,1467299827712518,0.5907597018588739,0.0,1467299827712518,5.344389064993574,0,1,nan,8,1,25.699895751695308,0.0,2016-06-30 15:13:13,00e200600319961ccc000000,1,25.69989575169531,0.0,4.9968847352024923,1,3484,nan,50,48261,-47,0
7.0,1467299827716012,0.7071067811865476,2.125,1467299827716012,0.7853981633974483,34,1,39.26932777618775,9,1,27.699895751695308,0.6875168509032085,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,1970406250.0,2.9968847352024923,1,512,12.705093915186115,50,51755,-49,0
6.0,1467299827720687,0.8700869911087115,33.5625,1467299827720687,0.5154175447295755,537,1,-4.595588235294118,10,1,28.699895751695305,10.858722027500674,2016-06-30 15:13:13,00e200600319961ccc000000,1,28.699895751695305,31120828125.0,1.9968847352024923,1,336,-1.4868444007422328,50,56430,-50,0
7.0,1467299827724291,-0.6578066932970787,0.0,1467299827724291,3.9944859716542096,0,1,76.81894249445062,11,1,27.699895751695308,0.0,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,0.0,2.9968847352024923,1,2604,24.85379643929381,50,60034,-49,0
9.0,1467299827729772,0.5857978574564388,-0.5625,1467299827729772,5.338253141842031,65527,1,19.50986932129174,12,1,25.699895751695308,-0.1819897546508493,2016-06-30 15:13:13,00e200600319961ccc000000,1,25.69989575169531,-521578125.0,4.9968847352024923,1,3480,6.312171255203582,50,65515,-47,0
7.0,1467299827732475,0.8104571982525948,2.125,1467299827732475,0.6258641614573416,34,1,46.24491305956346,13,1,27.699895751695308,0.6875168509032085,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,1970406250.0,2.9968847352024923,1,408,14.961956233884106,50,68218,-49,0
9.0,1467299827737016,0.570780745886967,3.3125,1467299827737016,5.3198453723874035,53,1,82.25834755560449,14,1,25.699895751695308,1.0717174440550012,2016-06-30 15:13:13,00e200600319961ccc000000,1,25.69989575169531,3071515625.0,4.9968847352024923,1,3468,26.613647092673332,50,72759,-47,0
9.0,1467299827741407,-0.5707807458869671,0.5625,1467299827741407,2.1782527187976104,9,1,-56.934639034388525,15,1,25.699895751695308,0.1819897546508493,2016-06-30 15:13:13,00e200600319961ccc000000,1,25.69989575169531,521578125.0,4.9968847352024923,1,1420,-18.420481758227616,50,77150,-47,0
9.0,1467299827745491,-0.5758081914178453,-1.5,1467299827745491,2.184388641949153,65512,1,0.11955956170421549,16,1,25.699895751695308,-0.4853060124022648,2016-06-30 15:13:13,00e200600319961ccc000000,1,25.69989575169531,-1390875000.0,4.9968847352024923,1,1424,0.03868198275682356,50,81234,-47,0
9.0,1467299827749324,0.570780745886967,-0.5625,1467299827749324,5.3198453723874035,65527,1,65.09567408035481,17,1,25.699895751695308,-0.1819897546508493,2016-06-30 15:13:13,00e200600319961ccc000000,1,25.69989575169531,-521578125.0,4.9968847352024923,1,3468,21.060881341716303,50,85067,-47,0
9.0,1467299827753642,0.5657318107836131,0.0,1467299827753642,5.313709449235861,0,1,-0.11308041917553976,18,1,25.699895751695308,0.0,2016-06-30 15:13:13,00e200600319961ccc000000,1,25.69989575169531,0.0,4.9968847352024923,1,3464,-0.03658573820723853,50,89385,-47,0
9.0,1467299827757186,-0.5606615761973359,0.0,1467299827757186,2.1659808724945253,0,1,70.40398384593679,19,1,25.699895751695308,0.0,2016-06-30 15:13:13,00e200600319961ccc000000,1,25.69989575169531,0.0,4.9968847352024923,1,1412,22.778317771670032,50,92929,-47,0
7.0,1467299827761836,0.773010453362737,21.0,1467299827761836,0.6872233929727672,336,1,-25.306619623655912,20,1,27.699895751695308,6.794284173631707,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,19472250000.0,2.9968847352024923,1,448,-8.187636437958236,50,97579,-49,0
7.0,1467299827765338,0.6669999223036375,2.125,1467299827765338,0.8406214717613314,34,1,3.485731367789835,21,1,27.699895751695308,0.6875168509032085,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,1970406250.0,2.9968847352024923,1,548,1.127764260271718,50,101081,-49,0
7.0,1467299827770320,-0.6103828062763094,-1.5,1467299827770320,4.0558452031696355,65512,1,51.35675933360097,22,1,27.699895751695308,-0.4853060124022648,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,-1390875000.0,2.9968847352024923,1,2644,16.615829388061787,50,106063,-49,0
7.0,1467299827773524,0.6895405447370669,0.5625,1467299827773524,0.8099418560036186,9,1,75.43670997191009,23,1,27.699895751695308,0.1819897546508493,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,521578125.0,2.9968847352024923,1,528,24.4065926034759,50,109267,-49,0
7.0,1467299827778242,0.6438315428897915,-2.6875,1467299827778242,0.8713010875190442,65493,1,1.0349327045358205,24,1,27.699895751695308,-0.8695066055540577,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,-2491984375.0,2.9968847352024923,1,568,0.3348393759619802,50,113985,-49,0
7.0,1467299827782133,-0.6578066932970787,4.25,1467299827782133,3.9944859716542096,68,1,63.874365523001785,25,1,27.699895751695308,1.375033701806417,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,3940812500.0,2.9968847352024923,1,2604,20.665742417795133,50,117876,-49,0
7.0,1467299827785947,0.6248594881423865,0.0,1467299827785947,0.8958447801252144,0,1,-64.65181731777662,26,1,27.699895751695308,0.0,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,0.0,2.9968847352024923,1,584,-20.917277104699902,50,121690,-49,0
7.0,1467299827788847,0.6391244448637757,0.5625,1467299827788847,0.8774370106705868,9,1,-0.5051185344827569,27,1,27.699895751695308,0.1819897546508493,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,521578125.0,2.9968847352024923,1,572,-0.16342470784020177,50,124590,-49,0
7.0,1467299827793885,-0.6343932841636459,0.5625,1467299827793885,4.025165587411922,9,1,49.71978587733227,28,1,27.699895751695308,0.1819897546508493,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,521578125.0,2.9968847352024923,1,2624,16.086207347748374,50,129628,-49,0
7.0,1467299827797409,0.6485144010221126,3.3125,1467299827797409,0.8651651643675016,53,1,70.52643480419978,29,1,27.699895751695308,1.0717174440550012,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,3071515625.0,2.9968847352024923,1,564,22.817935229182996,50,133152,-49,0
7.0,1467299827801159,0.6438315428897915,-0.5625,1467299827801159,0.8713010875190442,65527,1,0.13020833333333526,30,1,27.699895751695308,-0.1819897546508493,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,-521578125.0,2.9968847352024923,1,568,0.042127258021030546,50,136902,-49,0
7.0,1467299827806259,-0.724247082951467,7.0,1467299827806259,3.902447124381071,112,1,47.29626225490196,31,1,27.699895751695308,2.264761391210569,2016-06-30 15:13:13,00e200600319961ccc000000,1,27.69989575169531,6490750000.0,2.9968847352024923,1,2544,15.302106957638813,50,142002,-49,0
