rssi_from_min,interrogator_timestamp,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,velocity_by_doppler,absolute_timestamp,epc96,rospecid,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
1.0,1501080942220401,0.75,1501080942220401,0.4540583132141498,12,1,nan,1,1,0.2461033634126333,2017-05-28 02:05:12,00e200600322f041ef000000,1,685687500.0,0.21621621621621756,1,296,nan,24,0,-49,0
0.0,1501080942232504,-0.5,1501080942232504,4.822835597112456,65528,1,nan,2,1,-0.16406890894175555,2017-05-28 02:05:12,00e200600322f10741000000,1,-457125000.0,-0.8717948717948687,1,3144,nan,24,12103,-58,0
1.0,1501080942256741,0.875,1501080942256741,4.135612204139688,14,1,nan,3,1,0.286963651270839,2017-05-28 02:05:12,00e200600322f041ef000000,1,800406250.0,0.069767441860463464,1,2696,nan,25,36340,-49,0
0.0,1501080942266705,0.5,1501080942266705,5.411884219660542,8,1,nan,4,1,0.1639792292976223,2017-05-28 02:05:12,00e200600322f10741000000,1,457375000.0,-0.5,1,3528,nan,25,46304,-58,0
0.0,1501080942316423,0.0625,1501080942316423,5.448699758569798,1,1,0.05892609316545367,5,1,0.020497403662202787,2017-05-28 02:05:12,00e200600322f10741000000,1,57171875.0,-0.5,1,3552,0.019325310685581965,25,96022,-58,0
1.0,1501080942326071,0.9375,1501080942326071,4.1417481272912315,15,1,nan,6,1,0.3074610549330418,2017-05-28 02:05:12,00e200600322f041ef000000,1,857578125.0,0.069767441860463464,1,2700,nan,25,105670,-49,0
1.0,1501080942351563,1.125,1501080942351563,4.111068511533518,18,1,-0.09577146751922348,7,1,0.36895326591965016,2017-05-28 02:05:12,00e200600322f041ef000000,1,1029093750.0,0.069767441860463464,1,2680,-0.031409062865009066,25,131162,-49,0
0.0,1501080942361476,0.5625,1501080942361476,5.393476450205914,9,1,nan,8,1,0.18447663295982508,2017-05-28 02:05:12,00e200600322f10741000000,1,514546875.0,-0.5,1,3516,nan,25,141075,-58,0
0.0,1501080942410370,-0.125,1501080942410370,5.448699758569798,65534,1,0.08987874279052722,9,1,-0.04099480732440557,2017-05-28 02:05:12,00e200600322f10741000000,1,-114343750.0,-0.5,1,3552,0.02947649394605976,25,189969,-58,0
1.0,1501080942422043,-0.5,1501080942422043,4.178563666200486,65528,1,nan,10,1,-0.1639792292976223,2017-05-28 02:05:12,00e200600322f041ef000000,1,-457375000.0,0.069767441860463464,1,2724,nan,25,201642,-49,0
1.0,1501080942440846,0.75,1501080942440846,5.436427912266712,12,1,nan,11,1,0.24596884394643345,2017-05-28 02:05:12,00e200600322f10741000000,1,686062500.0,0.5,1,3544,nan,25,220445,-57,0
