rssi_from_min,interrogator_timestamp,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,velocity_by_doppler,absolute_timestamp,epc96,rospecid,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
2.0,1501082339906269,0.0625,1501082339906269,4.755340442445488,1,1,nan,1,1,0.020587427944002194,2017-05-28 02:28:27,00e200600322f041ef000000,1,56921875.0,-0.52173913043478137,1,3100,nan,17,0,-47,0
2.0,1501082339906269,0.0625,1501082339906269,4.755340442445488,1,1,nan,2326,1,0.020587427944002194,2017-05-28 02:29:03,00e200600322f041ef000000,1,56921875.0,-0.52173913043478137,1,3100,nan,17,0,-47,0
4.0,1501082339916203,-0.0625,1501082339916203,6.264777537724958,65535,1,nan,2,1,-0.020587427944002194,2017-05-28 02:28:27,00e200600322f10741000000,1,-56921875.0,-0.090909090909093493,1,4084,nan,17,9934,-59,0
4.0,1501082339916203,-0.0625,1501082339916203,6.264777537724958,65535,1,nan,2327,1,-0.020587427944002194,2017-05-28 02:29:03,00e200600322f10741000000,1,-56921875.0,-0.090909090909093493,1,4084,nan,17,9934,-59,0
1.0,1501082339935772,0.375,1501082339935772,4.7307967498393175,6,1,nan,3,1,0.12352456766401318,2017-05-28 02:28:27,00e200600322f041ef000000,1,341531250.0,-1.5217391304347814,1,3084,nan,17,29503,-48,0
1.0,1501082339935772,0.375,1501082339935772,4.7307967498393175,6,1,nan,2328,1,0.12352456766401318,2017-05-28 02:29:03,00e200600322f041ef000000,1,341531250.0,-1.5217391304347814,1,3084,nan,17,29503,-48,0
4.0,1501082339945740,-0.5625,1501082339945740,0.02454369260617026,65527,1,nan,4,1,-0.18528685149601976,2017-05-28 02:28:27,00e200600322f10741000000,1,-512296875.0,-0.090909090909093493,1,16,nan,17,39471,-59,0
4.0,1501082339945740,-0.5625,1501082339945740,0.02454369260617026,65527,1,nan,2329,1,-0.18528685149601976,2017-05-28 02:29:03,00e200600322f10741000000,1,-512296875.0,-0.090909090909093493,1,16,nan,17,39471,-59,0
1.0,1501082340013788,0.8125,1501082340013788,1.6198837120072371,13,1,nan,5,1,0.2674897119341564,2017-05-28 02:28:27,00e200600322f041ef000000,1,740390625.0,-0.88000000000000256,1,1056,nan,18,107519,-48,0
1.0,1501082340013788,0.8125,1501082340013788,1.6198837120072371,13,1,nan,2330,1,0.2674897119341564,2017-05-28 02:29:03,00e200600322f041ef000000,1,740390625.0,-0.88000000000000256,1,1056,nan,18,107519,-48,0
4.0,1501082340023789,1.3125,1501082340023789,5.988660995905543,21,1,nan,6,1,0.43209876543209874,2017-05-28 02:28:27,00e200600322f10741000000,1,1196015625.0,-0.43999999999999773,1,3904,nan,18,117520,-61,0
4.0,1501082340023789,1.3125,1501082340023789,5.988660995905543,21,1,nan,2331,1,0.43209876543209874,2017-05-28 02:29:03,00e200600322f10741000000,1,1196015625.0,-0.43999999999999773,1,3904,nan,18,117520,-61,0
4.0,1501082340049008,-0.375,1501082340049008,6.025476534814799,65530,1,0.11616985209564318,7,1,-0.12345679012345678,2017-05-28 02:28:27,00e200600322f10741000000,1,-341718750.0,-0.43999999999999773,1,3928,0.03824521879691957,18,142739,-61,0
4.0,1501082340049008,-0.375,1501082340049008,6.025476534814799,65530,1,nan,2332,1,-0.12345679012345678,2017-05-28 02:29:03,00e200600322f10741000000,1,-341718750.0,-0.43999999999999773,1,3928,nan,18,142739,-61,0
1.0,1501082340058684,0.1875,1501082340058684,1.5707963267948966,3,1,nan,8,1,0.06172839506172839,2017-05-28 02:28:27,00e200600322f041ef000000,1,170859375.0,-0.88000000000000256,1,1024,nan,18,152415,-48,0
1.0,1501082340058684,0.1875,1501082340058684,1.5707963267948966,3,1,nan,2333,1,0.06172839506172839,2017-05-28 02:29:03,00e200600322f041ef000000,1,170859375.0,-0.88000000000000256,1,1024,nan,18,152415,-48,0
4.0,1501082340108713,0.0625,1501082340108713,6.019340611663256,1,1,nan,9,1,0.0205761316872428,2017-05-28 02:28:27,00e200600322f10741000000,1,56953125.0,-0.43999999999999773,1,3924,nan,18,202444,-61,0
4.0,1501082340108713,0.0625,1501082340108713,6.019340611663256,1,1,nan,2334,1,0.0205761316872428,2017-05-28 02:29:03,00e200600322f10741000000,1,56953125.0,-0.43999999999999773,1,3924,nan,18,202444,-61,0
0.0,1501082340118372,0.125,1501082340118372,1.6260196351587797,2,1,nan,10,1,0.0411522633744856,2017-05-28 02:28:27,00e200600322f041ef000000,1,113906250.0,-1.8800000000000026,1,1060,nan,18,212103,-49,0
0.0,1501082340118372,0.125,1501082340118372,1.6260196351587797,2,1,nan,2335,1,0.0411522633744856,2017-05-28 02:29:03,00e200600322f041ef000000,1,113906250.0,-1.8800000000000026,1,1060,nan,18,212103,-49,0
4.0,1501082340139460,0.0625,1501082340139460,6.031612457966341,1,1,nan,11,1,0.0205761316872428,2017-05-28 02:28:27,00e200600322f10741000000,1,56953125.0,-0.43999999999999773,1,3932,nan,18,233191,-61,0
4.0,1501082340139460,0.0625,1501082340139460,6.031612457966341,1,1,nan,2336,1,0.0205761316872428,2017-05-28 02:29:03,00e200600322f10741000000,1,56953125.0,-0.43999999999999773,1,3932,nan,18,233191,-61,0
0.0,1501082340150883,0.0625,1501082340150883,1.6751070203711202,1,1,nan,12,1,0.0205761316872428,2017-05-28 02:28:27,00e200600322f041ef000000,1,56953125.0,-1.8800000000000026,1,1092,nan,18,244614,-49,0
0.0,1501082340150883,0.0625,1501082340150883,1.6751070203711202,1,1,nan,2337,1,0.0205761316872428,2017-05-28 02:29:03,00e200600322f041ef000000,1,56953125.0,-1.8800000000000026,1,1092,nan,18,244614,-49,0
4.0,1501082340212792,0.9375,1501082340212792,0.15339807878856412,15,1,nan,13,1,0.30847271730189196,2017-05-28 02:28:27,00e200600322f10741000000,1,854765625.0,-0.1666666666666643,1,100,nan,19,306523,-59,0
4.0,1501082340212792,0.9375,1501082340212792,0.15339807878856412,15,1,nan,2338,1,0.30847271730189196,2017-05-28 02:29:03,00e200600322f10741000000,1,854765625.0,-0.1666666666666643,1,100,nan,19,306523,-59,0
0.0,1501082340224220,-0.0625,1501082340224220,4.970097752749477,65535,1,nan,14,1,-0.02056484782012613,2017-05-28 02:28:27,00e200600322f041ef000000,1,-56984375.0,-1.5416666666666643,1,3240,nan,19,317951,-48,0
