rssi_from_min,interrogator_timestamp,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,velocity_by_doppler,absolute_timestamp,epc96,rospecid,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
0.0,1501081901859611,0.0,1501081901859611,4.196971435655114,0,1,nan,1,1,0.0,2017-05-28 02:23:21,00e200600322f041ef000000,1,0.0,-0.43478260869564878,1,2736,nan,25,0,-49,0
2.0,1501081901871536,-0.5,1501081901871536,5.5714182216006485,65528,1,nan,2,1,-0.1639792292976223,2017-05-28 02:23:21,00e200600322f10741000000,1,-457375000.0,1.0399999999999991,1,3632,nan,25,11925,-57,0
0.0,1501081901889752,0.5,1501081901889752,4.2092432819582,8,1,nan,3,1,0.1639792292976223,2017-05-28 02:23:21,00e200600322f041ef000000,1,457375000.0,-0.43478260869564878,1,2744,nan,25,30141,-49,0
1.0,1501081901899766,0.5,1501081901899766,5.553010452146021,8,1,nan,4,1,0.1639792292976223,2017-05-28 02:23:21,00e200600322f10741000000,1,457375000.0,0.039999999999999147,1,3620,nan,25,40155,-58,0
1.0,1501081901953067,-0.125,1501081901953067,5.583690067903734,65534,1,0.045804135944917446,5,1,-0.04099480732440557,2017-05-28 02:23:21,00e200600322f10741000000,1,-114343750.0,0.039999999999999147,1,3640,0.015021853821782163,25,93456,-58,0
0.0,1501081901962788,-0.375,1501081901962788,4.252194744018997,65530,1,nan,6,1,-0.12298442197321673,2017-05-28 02:23:21,00e200600322f041ef000000,1,-343031250.0,-0.43478260869564878,1,2772,nan,25,103177,-49,0
0.0,1501081901990784,0.375,1501081901990784,5.927301764390117,6,1,nan,7,1,0.12291723572794319,2017-05-28 02:23:21,00e200600322f041ef000000,1,343218750.0,-0.67999999999999972,1,3864,nan,26,131173,-48,0
2.0,1501081902004527,-0.625,1501081902004527,1.1167380135807468,65526,1,nan,8,1,-0.20486205954657197,2017-05-28 02:23:21,00e200600322f10741000000,1,-572031250.0,0.75,1,728,nan,26,144916,-56,0
0.0,1501081902051992,0.375,1501081902051992,5.902758071783947,6,1,nan,9,1,0.12291723572794319,2017-05-28 02:23:21,00e200600322f041ef000000,1,343218750.0,-0.67999999999999972,1,3848,nan,26,192381,-48,0
2.0,1501081902067439,-0.875,1501081902067439,1.2026409377023426,65522,1,nan,10,1,-0.28680688336520077,2017-05-28 02:23:21,00e200600322f10741000000,1,-800843750.0,0.75,1,784,nan,26,207828,-56,0
