rssi_from_min,interrogator_timestamp,doppler_hz,lastseentimestamp,phase_rads,doppler,tagseencount,doppler_by_phase,id,antenna,velocity_by_doppler,absolute_timestamp,epc96,rospecid,doppler_channel,rssi_from_mean,inventoryparameterspecid,phase,velocity_by_phase,channelindex,relative_timestamp,rssi,accessspecid
1.0,1501081328854292,-1.125,1501081328854292,6.050020227420969,65518,1,nan,1,1,-0.37037037037037035,2017-05-28 02:11:25,00e200600322f10741000000,1,-1025156250.0,-0.17647058823529704,1,3944,nan,18,0,-57,0
0.0,1501081328863929,0.875,1501081328863929,1.6996507129772904,14,1,nan,2,1,0.2880658436213992,2017-05-28 02:11:25,00e200600322f041ef000000,1,797343750.0,-0.44444444444444287,1,1108,nan,18,9637,-49,0
1.0,1501081328885238,0.0,1501081328885238,1.7548740213411735,0,1,0.20622888216246676,3,1,0.0,2017-05-28 02:11:25,00e200600322f041ef000000,1,0.0,0.55555555555555713,1,1144,0.0678942821934047,18,30946,-48,0
0.0,1501081328895281,-1.0625,1501081328895281,6.043884304269426,65519,1,nan,4,1,-0.3497942386831276,2017-05-28 02:11:25,00e200600322f10741000000,1,-968203125.0,-1.176470588235297,1,3940,nan,18,40989,-58,0
0.0,1501081328944410,0.1875,1501081328944410,1.736466251886546,3,1,nan,5,1,0.06172839506172839,2017-05-28 02:11:25,00e200600322f041ef000000,1,170859375.0,-0.44444444444444287,1,1132,nan,18,90118,-49,0
1.0,1501081328954394,-0.875,1501081328954394,6.215690152512618,65522,1,nan,6,1,-0.2880658436213992,2017-05-28 02:11:25,00e200600322f10741000000,1,-797343750.0,-0.17647058823529704,1,4052,nan,18,100102,-57,0
0.0,1501081328974544,0.375,1501081328974544,1.7303303287350031,6,1,nan,7,1,0.12345679012345678,2017-05-28 02:11:25,00e200600322f041ef000000,1,341718750.0,-0.44444444444444287,1,1128,nan,18,120252,-49,0
0.0,1501081328986390,-1.75,1501081328986390,6.135923151542564,65508,1,nan,8,1,-0.5761316872427984,2017-05-28 02:11:25,00e200600322f10741000000,1,-1594687500.0,-1.176470588235297,1,4000,nan,18,132098,-58,0
0.0,1501081329036081,0.9375,1501081329036081,6.062292073724054,15,1,-0.1179162222535264,9,1,0.30864197530864196,2017-05-28 02:11:25,00e200600322f10741000000,1,854296875.0,-1.176470588235297,1,3952,-0.038820155474411984,18,181789,-58,0
0.0,1501081329052953,1.1875,1501081329052953,4.933282213840222,19,1,nan,10,1,0.3907321085823965,2017-05-28 02:11:25,00e200600322f041ef000000,1,1082703125.0,-0.96875,1,3216,nan,19,198661,-49,0
1.0,1501081329077572,0.1875,1501081329077572,4.988505522204105,3,1,0.17850161460660333,11,1,0.06169454346037839,2017-05-28 02:11:25,00e200600322f041ef000000,1,170953125.0,0.03125,1,3252,0.05873373664050562,19,223280,-48,0
0.0,1501081329094854,1.25,1501081329094854,6.277049384028044,20,1,nan,12,1,0.4112969564025226,2017-05-28 02:11:25,00e200600322f10741000000,1,1139687500.0,-0.76470588235294201,1,4092,nan,19,240562,-56,0
1.0,1501081329138148,0.5625,1501081329138148,4.957825906446392,9,1,nan,13,1,0.18508363038113518,2017-05-28 02:11:25,00e200600322f041ef000000,1,512859375.0,0.03125,1,3232,nan,19,283856,-48,0
0.0,1501081329149985,-1.875,1501081329149985,0.14112623248547898,65506,1,nan,14,1,-0.6169454346037839,2017-05-28 02:11:25,00e200600322f10741000000,1,-1709531250.0,-0.76470588235294201,1,92,nan,19,295693,-56,0
0.0,1501081329172181,-0.5625,1501081329172181,0.14726215563702155,65527,1,0.021998614615246017,15,1,-0.18508363038113518,2017-05-28 02:11:25,00e200600322f10741000000,1,-512859375.0,-0.76470588235294201,1,96,0.00723837058905819,19,317889,-56,0
1.0,1501081329183664,-0.0625,1501081329183664,4.914874444385594,65535,1,nan,16,1,-0.02056484782012613,2017-05-28 02:11:25,00e200600322f041ef000000,1,-56984375.0,0.03125,1,3204,nan,19,329372,-48,0
0.0,1501081329233521,0.9375,1501081329233521,0.1227184630308513,15,1,nan,17,1,0.30847271730189196,2017-05-28 02:11:25,00e200600322f10741000000,1,854765625.0,-0.76470588235294201,1,80,nan,19,379229,-56,0
1.0,1501081329258359,1.3125,1501081329258359,4.190835512503572,21,1,nan,18,1,0.43162510276788163,2017-05-28 02:11:25,00e200600322f041ef000000,1,1197328125.0,0.088235294117644969,1,2732,nan,20,404067,-49,0
1.0,1501081329273114,-0.375,1501081329273114,4.239922897715912,65530,1,0.26474076584208656,19,1,-0.12332145793368046,2017-05-28 02:11:25,00e200600322f041ef000000,1,-342093750.0,0.088235294117644969,1,2764,0.08706191258166728,20,418822,-49,0
0.0,1501081329284839,0.375,1501081329284839,5.553010452146021,6,1,nan,20,1,0.12332145793368046,2017-05-28 02:11:25,00e200600322f10741000000,1,342093750.0,-0.77142857142857224,1,3620,nan,20,430547,-58,0
0.0,1501081329337224,-0.0625,1501081329337224,5.5714182216006485,65535,1,0.02796303808342107,21,1,-0.020553576322280078,2017-05-28 02:11:25,00e200600322f10741000000,1,-57015625.0,-0.77142857142857224,1,3632,0.009195846999206711,20,482932,-58,0
1.0,1501081329346867,-0.4375,1501081329346867,4.289010282928253,65529,1,nan,22,1,-0.14387503425596054,2017-05-28 02:11:25,00e200600322f041ef000000,1,-399109375.0,0.088235294117644969,1,2796,nan,20,492575,-49,0
0.0,1501081329369080,0.375,1501081329369080,5.540738605842936,6,1,nan,23,1,0.12332145793368046,2017-05-28 02:11:25,00e200600322f10741000000,1,342093750.0,-0.77142857142857224,1,3612,nan,20,514788,-58,0
1.0,1501081329378780,0.875,1501081329378780,4.276738436625168,14,1,nan,24,1,0.2877500685119211,2017-05-28 02:11:25,00e200600322f041ef000000,1,798218750.0,0.088235294117644969,1,2788,nan,20,524488,-49,0
1.0,1501081329428166,0.8125,1501081329428166,5.546874528994478,13,1,nan,25,1,0.267196492189641,2017-05-28 02:11:25,00e200600322f10741000000,1,741203125.0,0.22857142857142776,1,3616,nan,20,573874,-57,0
1.0,1501081329437786,0.625,1501081329437786,4.295146206079795,10,1,nan,26,1,0.20553576322280076,2017-05-28 02:11:25,00e200600322f041ef000000,1,570156250.0,0.088235294117644969,1,2800,nan,20,583494,-49,0
1.0,1501081329468987,-0.1875,1501081329468987,4.632621979414636,65533,1,nan,27,1,-0.06162695152013147,2017-05-28 02:11:25,00e200600322f10741000000,1,-171140625.0,-0.09375,1,3020,nan,21,614695,-57,0
1.0,1501081329480410,0.5625,1501081329480410,0.30066023442558565,9,1,nan,28,1,0.1848808545603944,2017-05-28 02:11:25,00e200600322f041ef000000,1,513421875.0,0.0,1,196,nan,21,626118,-49,0
1.0,1501081329527683,-0.4375,1501081329527683,0.3436116964863836,65529,1,0.07230276796480024,29,1,-0.1437962202136401,2017-05-28 02:11:25,00e200600322f041ef000000,1,-399328125.0,0.0,1,224,0.023764262272736317,21,673391,-49,0
0.0,1501081329539631,-0.0625,1501081329539631,4.620350133111551,65535,1,nan,30,1,-0.020542317173377157,2017-05-28 02:11:25,00e200600322f10741000000,1,-57046875.0,-1.09375,1,3012,nan,21,685339,-58,0
1.0,1501081329560283,-0.125,1501081329560283,0.32520392703175593,65534,1,nan,31,1,-0.041084634346754315,2017-05-28 02:11:25,00e200600322f041ef000000,1,-114093750.0,0.0,1,212,nan,21,705991,-49,0
0.0,1501081329577796,0.9375,1501081329577796,4.608078286808466,15,1,nan,32,1,0.30813475760065734,2017-05-28 02:11:25,00e200600322f10741000000,1,855703125.0,-1.09375,1,3004,nan,21,723504,-58,0
1.0,1501081329627160,-0.75,1501081329627160,0.3620194659410113,65524,1,nan,33,1,-0.2465078060805259,2017-05-28 02:11:25,00e200600322f041ef000000,1,-684562500.0,0.0,1,236,nan,21,772868,-49,0
0.0,1501081329637192,-0.1875,1501081329637192,4.638757902566179,65533,1,nan,34,1,-0.06162695152013147,2017-05-28 02:11:25,00e200600322f10741000000,1,-171140625.0,-1.09375,1,3024,nan,21,782900,-58,0
0.0,1501081329660882,0.0625,1501081329660882,4.344233591292136,1,1,nan,35,1,0.02053107035313441,2017-05-28 02:11:25,00e200600322f10741000000,1,57078125.0,-0.81818181818182012,1,2832,nan,22,806590,-58,0
0.0,1501081329670559,-0.625,1501081329670559,0.14726215563702155,65526,1,nan,36,1,-0.2053107035313441,2017-05-28 02:11:25,00e200600322f041ef000000,1,-570781250.0,-0.0625,1,96,nan,22,816267,-49,0
0.0,1501081329721238,0.0,1501081329721238,0.09817477042468103,0,1,-0.07707827699836224,37,1,0.0,2017-05-28 02:11:25,00e200600322f041ef000000,1,0.0,-0.0625,1,64,-0.025319992444028112,22,866946,-49,0
0.0,1501081329735307,0.25,1501081329735307,1.2762720155208536,4,1,nan,38,1,0.08212428141253764,2017-05-28 02:11:25,00e200600322f10741000000,1,228312500.0,-0.81818181818182012,1,832,nan,22,881015,-58,0
0.0,1501081329752660,0.9375,1501081329752660,1.1596894756415448,15,1,-0.5346247766956724,39,1,0.30796605529701615,2017-05-28 02:11:25,00e200600322f10741000000,1,856171875.0,-0.81818181818182012,1,756,-0.175622702445882,22,898368,-58,0
0.0,1501081329764322,0.9375,1501081329764322,0.06135923151542565,15,1,nan,40,1,0.30796605529701615,2017-05-28 02:11:25,00e200600322f041ef000000,1,856171875.0,-0.0625,1,40,nan,22,910030,-49,0
0.0,1501081329816028,1.75,1501081329816028,4.338097668140593,28,1,nan,41,1,0.5748699698877635,2017-05-28 02:11:25,00e200600322f10741000000,1,1598187500.0,-0.81818181818182012,1,2828,nan,22,961736,-58,0
0.0,1501081329825720,0.125,1501081329825720,0.17794177139473438,2,1,nan,42,1,0.04106214070626882,2017-05-28 02:11:25,00e200600322f041ef000000,1,114156250.0,-0.0625,1,116,nan,22,971428,-49,0
0.0,1501081329851549,-0.75,1501081329851549,1.41126232485479,65524,1,nan,43,1,-0.24623803009575923,2017-05-28 02:11:25,00e200600322f10741000000,1,-685312500.0,-0.82352941176470296,1,920,nan,23,997257,-57,0
1.0,1501081329864762,-0.0625,1501081329864762,6.166602767300278,65535,1,nan,44,1,-0.02051983584131327,2017-05-28 02:11:25,00e200600322f041ef000000,1,-57109375.0,0.29411764705882604,1,4020,nan,23,1010470,-47,0
0.0,1501081329912082,-1.9375,1501081329912082,1.3928545554001621,65505,1,nan,45,1,-0.6361149110807114,2017-05-28 02:11:25,00e200600322f10741000000,1,-1770390625.0,-0.82352941176470296,1,908,nan,23,1057790,-57,0
1.0,1501081329923661,0.625,1501081329923661,6.166602767300278,10,1,nan,46,1,0.2051983584131327,2017-05-28 02:11:25,00e200600322f041ef000000,1,571093750.0,0.29411764705882604,1,4020,nan,23,1069369,-47,0
1.0,1501081329943331,0.1875,1501081329943331,1.4296700943094176,3,1,nan,47,1,0.06155950752393981,2017-05-28 02:11:25,00e200600322f10741000000,1,171328125.0,0.17647058823529704,1,932,nan,23,1089039,-56,0
0.0,1501081329956552,-0.1875,1501081329956552,6.178874613603362,65533,1,nan,48,1,-0.06155950752393981,2017-05-28 02:11:25,00e200600322f041ef000000,1,-171328125.0,-0.70588235294117396,1,4028,nan,23,1102260,-48,0
0.0,1501081330006750,1.75,1501081330006750,1.2640001692177683,28,1,nan,49,1,0.5745554035567716,2017-05-28 02:11:25,00e200600322f10741000000,1,1599062500.0,-0.82352941176470296,1,824,nan,23,1152458,-57,0
1.0,1501081330016406,0.625,1501081330016406,6.160466844148735,10,1,nan,50,1,0.2051983584131327,2017-05-28 02:11:25,00e200600322f041ef000000,1,571093750.0,0.29411764705882604,1,4016,nan,23,1162114,-47,0
0.0,1501081330037371,0.5,1501081330037371,6.135923151542564,8,1,-0.09316122108276005,51,1,0.16415868673050615,2017-05-28 02:11:25,00e200600322f041ef000000,1,456875000.0,-0.70588235294117396,1,4000,-0.030586447414312462,23,1183079,-48,0
1.0,1501081330292099,-0.4375,1501081330292099,0.9940195505498954,65529,1,nan,52,1,-0.1434818256354195,2017-05-28 02:11:25,00e200600322f041ef000000,1,-400203125.0,0.23529411764705799,1,648,nan,25,1437807,-49,0
0.0,1501081330304024,-0.5625,1501081330304024,5.460971604872882,65527,1,nan,53,1,-0.18447663295982508,2017-05-28 02:11:25,00e200600322f10741000000,1,-514546875.0,-0.79999999999999716,1,3560,nan,25,1449732,-58,0
1.0,1501081330320556,0.5625,1501081330320556,1.000155473701438,9,1,nan,54,1,0.18447663295982508,2017-05-28 02:11:25,00e200600322f041ef000000,1,514546875.0,0.23529411764705799,1,652,nan,25,1466264,-49,0
0.0,1501081330332338,0.8125,1501081330332338,5.45483568172134,13,1,nan,55,1,0.26646624760863624,2017-05-28 02:11:25,00e200600322f10741000000,1,743234375.0,-0.79999999999999716,1,3556,nan,25,1478046,-58,0
0.0,1501081330383099,-0.5625,1501081330383099,5.50392306693368,65527,1,0.07695376371623859,56,1,-0.18447663295982508,2017-05-28 02:11:25,00e200600322f10741000000,1,-514546875.0,-0.79999999999999716,1,3588,0.02523763773148027,25,1528807,-58,0
1.0,1501081330394598,0.1875,1501081330394598,4.1601558967458585,3,1,nan,57,1,0.06149221098660836,2017-05-28 02:11:25,00e200600322f041ef000000,1,171515625.0,0.23529411764705799,1,2712,nan,25,1540306,-49,0
0.0,1501081330417252,-1.125,1501081330417252,5.522330836388308,65518,1,nan,58,1,-0.36895326591965016,2017-05-28 02:11:25,00e200600322f10741000000,1,-1029093750.0,-0.79999999999999716,1,3600,nan,25,1562960,-58,0
0.0,1501081330426926,-0.8125,1501081330426926,1.1044661672776617,65523,1,nan,59,1,-0.26646624760863624,2017-05-28 02:11:25,00e200600322f041ef000000,1,-743234375.0,-0.76470588235294201,1,720,nan,25,1572634,-50,0
1.0,1501081330476414,-0.0625,1501081330476414,1.043106935762236,65535,1,-0.0986665959424507,60,1,-0.020497403662202787,2017-05-28 02:11:25,00e200600322f041ef000000,1,-57171875.0,0.23529411764705799,1,680,-0.03235854472012595,25,1622122,-49,0
1.0,1501081330495211,0.8125,1501081330495211,1.000155473701438,13,1,nan,61,1,0.26632067741054355,2017-05-28 02:11:25,00e200600322f10741000000,1,743640625.0,0.13333333333333286,1,652,nan,26,1640919,-56,0
1.0,1501081330517505,2.3125,1501081330517505,0.9633399347921826,37,1,-0.13141147842468823,62,1,0.7579896203223163,2017-05-28 02:11:25,00e200600322f10741000000,1,2116515625.0,0.13333333333333286,1,628,-0.04307396178902646,26,1663213,-56,0
1.0,1501081330527137,-0.125,1501081330527137,5.93343768754166,65534,1,nan,63,1,-0.040972411909314395,2017-05-28 02:11:25,00e200600322f041ef000000,1,-114406250.0,-0.0625,1,3868,nan,26,1672845,-48,0
1.0,1501081330578649,-0.0625,1501081330578649,5.9088939949354895,65535,1,-0.03791592250349421,64,1,-0.020486205954657197,2017-05-28 02:11:25,00e200600322f041ef000000,1,-57203125.0,-0.0625,1,3852,-0.012428054357878462,26,1724357,-48,0
0.0,1501081330590391,-1.25,1501081330590391,1.184233168247715,65516,1,nan,65,1,-0.40972411909314393,2017-05-28 02:11:25,00e200600322f10741000000,1,-1144062500.0,-0.86666666666666714,1,772,nan,26,1736099,-57,0
1.0,1501081330611105,0.4375,1501081330611105,5.878214379177777,7,1,nan,66,1,0.14340344168260039,2017-05-28 02:11:25,00e200600322f041ef000000,1,400421875.0,-0.0625,1,3832,nan,26,1756813,-48,0
1.0,1501081330623141,0.9375,1501081330623141,0.9940195505498954,15,1,nan,67,1,0.30729308931985794,2017-05-28 02:11:25,00e200600322f10741000000,1,858046875.0,0.13333333333333286,1,648,nan,26,1768849,-56,0
1.0,1501081330678957,0.625,1501081330678957,5.816855147662351,10,1,nan,68,1,0.20486205954657197,2017-05-28 02:11:25,00e200600322f041ef000000,1,572031250.0,-0.0625,1,3792,nan,26,1824665,-48,0
1.0,1501081330696276,0.875,1501081330696276,0.018407769454627694,14,1,nan,69,1,0.28665028665028663,2017-05-28 02:11:25,00e200600322f10741000000,1,801281250.0,-0.61764705882352899,1,12,nan,27,1841984,-58,0
1.0,1501081330714407,-0.375,1501081330714407,2.012582793705961,65530,1,nan,70,1,-0.12285012285012285,2017-05-28 02:11:25,00e200600322f041ef000000,1,-343406250.0,0.0,1,1312,nan,27,1860115,-49,0
